Municipios;Sexo;Periodo;Total
18006 Albuñol;Hombres;2021;4.135
18006 Albuñol;Hombres;2020;4.050
18006 Albuñol;Hombres;2019;3.952
18006 Albuñol;Hombres;2018;3.879
18006 Albuñol;Hombres;2017;3.742
18006 Albuñol;Hombres;2016;3.698
18006 Albuñol;Hombres;2015;3.677
18006 Albuñol;Hombres;2014;3.598
18006 Albuñol;Hombres;2013;3.607
18006 Albuñol;Hombres;2012;3.449
18006 Albuñol;Hombres;2011;3.521
18006 Albuñol;Hombres;2010;3.508
18006 Albuñol;Hombres;2009;3.480
18006 Albuñol;Hombres;2008;3.390
18006 Albuñol;Hombres;2007;3.247
18006 Albuñol;Hombres;2006;3.345
18006 Albuñol;Hombres;2005;3.232
18006 Albuñol;Hombres;2004;3.102
18006 Albuñol;Hombres;2003;3.034
18006 Albuñol;Hombres;2002;2.917
18006 Albuñol;Hombres;2001;2.792
18006 Albuñol;Hombres;2000;2.733
18006 Albuñol;Hombres;1999;2.777
18006 Albuñol;Hombres;1998;2.749
18006 Albuñol;Hombres;1997;""
18006 Albuñol;Hombres;1996;2.782
18006 Albuñol;Mujeres;2022;3.302
18006 Albuñol;Mujeres;2021;3.338
18006 Albuñol;Mujeres;2020;3.303
18006 Albuñol;Mujeres;2019;3.281
18006 Albuñol;Mujeres;2018;3.249
18006 Albuñol;Mujeres;2017;3.256
18006 Albuñol;Mujeres;2016;3.273
18006 Albuñol;Mujeres;2015;3.271
18006 Albuñol;Mujeres;2014;3.255
18006 Albuñol;Mujeres;2013;3.271
18006 Albuñol;Mujeres;2012;3.138
18006 Albuñol;Mujeres;2011;3.165
18006 Albuñol;Mujeres;2010;3.196
18006 Albuñol;Mujeres;2009;3.224
18006 Albuñol;Mujeres;2008;3.069
18006 Albuñol;Mujeres;2007;2.943
18006 Albuñol;Mujeres;2006;2.925
18006 Albuñol;Mujeres;2005;2.983
18006 Albuñol;Mujeres;2004;2.952
18006 Albuñol;Mujeres;2003;2.905
18006 Albuñol;Mujeres;2002;2.776
18006 Albuñol;Mujeres;2001;2.744
18006 Albuñol;Mujeres;2000;2.729
18006 Albuñol;Mujeres;1999;2.770
18006 Albuñol;Mujeres;1998;2.733
18006 Albuñol;Mujeres;1997;""
18006 Albuñol;Mujeres;1996;2.784
18007 Albuñuelas;Total;2022;787
18007 Albuñuelas;Total;2021;786
18007 Albuñuelas;Total;2020;802
18007 Albuñuelas;Total;2019;821
18007 Albuñuelas;Total;2018;830
18007 Albuñuelas;Total;2017;836
18007 Albuñuelas;Total;2016;876
18007 Albuñuelas;Total;2015;893
18007 Albuñuelas;Total;2014;889
18007 Albuñuelas;Total;2013;879
18007 Albuñuelas;Total;2012;920
18007 Albuñuelas;Total;2011;956
18007 Albuñuelas;Total;2010;982
18007 Albuñuelas;Total;2009;1.015
18007 Albuñuelas;Total;2008;1.037
18007 Albuñuelas;Total;2007;1.063
18007 Albuñuelas;Total;2006;1.070
18007 Albuñuelas;Total;2005;1.102
18007 Albuñuelas;Total;2004;1.100
18007 Albuñuelas;Total;2003;1.149
18007 Albuñuelas;Total;2002;1.175
18007 Albuñuelas;Total;2001;1.180
18007 Albuñuelas;Total;2000;1.215
18007 Albuñuelas;Total;1999;1.249
18007 Albuñuelas;Total;1998;1.258
18007 Albuñuelas;Total;1997;""
18007 Albuñuelas;Total;1996;1.329
18007 Albuñuelas;Hombres;2022;394
18007 Albuñuelas;Hombres;2021;386
18007 Albuñuelas;Hombres;2020;395
18007 Albuñuelas;Hombres;2019;408
18007 Albuñuelas;Hombres;2018;419
18007 Albuñuelas;Hombres;2017;419
18007 Albuñuelas;Hombres;2016;442
18007 Albuñuelas;Hombres;2015;451
18007 Albuñuelas;Hombres;2014;447
18007 Albuñuelas;Hombres;2013;441
18007 Albuñuelas;Hombres;2012;467
18007 Albuñuelas;Hombres;2011;483
18007 Albuñuelas;Hombres;2010;501
18007 Albuñuelas;Hombres;2009;519
18007 Albuñuelas;Hombres;2008;531
18007 Albuñuelas;Hombres;2007;549
18007 Albuñuelas;Hombres;2006;552
18007 Albuñuelas;Hombres;2005;569
18007 Albuñuelas;Hombres;2004;564
18007 Albuñuelas;Hombres;2003;585
18007 Albuñuelas;Hombres;2002;606
18007 Albuñuelas;Hombres;2001;607
18007 Albuñuelas;Hombres;2000;632
18007 Albuñuelas;Hombres;1999;642
18007 Albuñuelas;Hombres;1998;649
18007 Albuñuelas;Hombres;1997;""
18007 Albuñuelas;Hombres;1996;678
18007 Albuñuelas;Mujeres;2022;393
18007 Albuñuelas;Mujeres;2021;400
18007 Albuñuelas;Mujeres;2020;407
18007 Albuñuelas;Mujeres;2019;413
18007 Albuñuelas;Mujeres;2018;411
18007 Albuñuelas;Mujeres;2017;417
18007 Albuñuelas;Mujeres;2016;434
18007 Albuñuelas;Mujeres;2015;442
18007 Albuñuelas;Mujeres;2014;442
18007 Albuñuelas;Mujeres;2013;438
18007 Albuñuelas;Mujeres;2012;453
18007 Albuñuelas;Mujeres;2011;473
18007 Albuñuelas;Mujeres;2010;481
18007 Albuñuelas;Mujeres;2009;496
18007 Albuñuelas;Mujeres;2008;506
18007 Albuñuelas;Mujeres;2007;514
18007 Albuñuelas;Mujeres;2006;518
18007 Albuñuelas;Mujeres;2005;533
18007 Albuñuelas;Mujeres;2004;536
18007 Albuñuelas;Mujeres;2003;564
18007 Albuñuelas;Mujeres;2002;569
18007 Albuñuelas;Mujeres;2001;573
18007 Albuñuelas;Mujeres;2000;583
18007 Albuñuelas;Mujeres;1999;607
18007 Albuñuelas;Mujeres;1998;609
18007 Albuñuelas;Mujeres;1997;""
18007 Albuñuelas;Mujeres;1996;651
18010 Aldeire;Total;2022;603
18010 Aldeire;Total;2021;623
18010 Aldeire;Total;2020;630
18010 Aldeire;Total;2019;615
18010 Aldeire;Total;2018;628
18010 Aldeire;Total;2017;635
18010 Aldeire;Total;2016;639
18010 Aldeire;Total;2015;631
18010 Aldeire;Total;2014;644
18010 Aldeire;Total;2013;653
18010 Aldeire;Total;2012;670
18010 Aldeire;Total;2011;677
18010 Aldeire;Total;2010;696
18010 Aldeire;Total;2009;707
18010 Aldeire;Total;2008;701
18010 Aldeire;Total;2007;730
18010 Aldeire;Total;2006;727
18010 Aldeire;Total;2005;735
18010 Aldeire;Total;2004;747
18010 Aldeire;Total;2003;753
18010 Aldeire;Total;2002;757
18010 Aldeire;Total;2001;773
18010 Aldeire;Total;2000;785
18010 Aldeire;Total;1999;786
18010 Aldeire;Total;1998;789
18010 Aldeire;Total;1997;""
18010 Aldeire;Total;1996;788
18010 Aldeire;Hombres;2022;313
18010 Aldeire;Hombres;2021;322
18010 Aldeire;Hombres;2020;327
18010 Aldeire;Hombres;2019;322
18010 Aldeire;Hombres;2018;331
18010 Aldeire;Hombres;2017;338
18010 Aldeire;Hombres;2016;343
18010 Aldeire;Hombres;2015;334
18010 Aldeire;Hombres;2014;339
18010 Aldeire;Hombres;2013;345
18010 Aldeire;Hombres;2012;349
18010 Aldeire;Hombres;2011;349
18010 Aldeire;Hombres;2010;357
18010 Aldeire;Hombres;2009;356
18010 Aldeire;Hombres;2008;360
18010 Aldeire;Hombres;2007;371
18010 Aldeire;Hombres;2006;370
18010 Aldeire;Hombres;2005;373
18010 Aldeire;Hombres;2004;377
18010 Aldeire;Hombres;2003;380
18010 Aldeire;Hombres;2002;387
18010 Aldeire;Hombres;2001;393
18010 Aldeire;Hombres;2000;398
18010 Aldeire;Hombres;1999;397
18010 Aldeire;Hombres;1998;400
18010 Aldeire;Hombres;1997;""
18010 Aldeire;Hombres;1996;400
18010 Aldeire;Mujeres;2022;290
18010 Aldeire;Mujeres;2021;301
18010 Aldeire;Mujeres;2020;303
18010 Aldeire;Mujeres;2019;293
18010 Aldeire;Mujeres;2018;297
18010 Aldeire;Mujeres;2017;297
18010 Aldeire;Mujeres;2016;296
18010 Aldeire;Mujeres;2015;297
18010 Aldeire;Mujeres;2014;305
18010 Aldeire;Mujeres;2013;308
18010 Aldeire;Mujeres;2012;321
18010 Aldeire;Mujeres;2011;328
18010 Aldeire;Mujeres;2010;339
18010 Aldeire;Mujeres;2009;351
18010 Aldeire;Mujeres;2008;341
18010 Aldeire;Mujeres;2007;359
18010 Aldeire;Mujeres;2006;357
18010 Aldeire;Mujeres;2005;362
18010 Aldeire;Mujeres;2004;370
18010 Aldeire;Mujeres;2003;373
18010 Aldeire;Mujeres;2002;370
18010 Aldeire;Mujeres;2001;380
18010 Aldeire;Mujeres;2000;387
18010 Aldeire;Mujeres;1999;389
18010 Aldeire;Mujeres;1998;389
18010 Aldeire;Mujeres;1997;""
18010 Aldeire;Mujeres;1996;388
18011 Alfacar;Total;2022;5.585
18011 Alfacar;Total;2021;5.497
